subset_ID,data_type,facies_suit_proportions_type,case_study_ID,cs_age_from,cs_age_to,system_ID,sys_age_from,sys_age_to,sand_fraction,sys_gs_category,age,epoch,period,era,start_ma,end_ma,climate
1,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
36,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
66,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
2,outcrop,"type,grain size,general structures,laminations",2,65,65,2,65,65,1,sandy system,Bashkirian,Lower Pennsylvanian,Carboniferous,Paleozoic,323.2,315.2,icehouse
160,outcrop,"type,grain size,general structures,laminations",2,65,65,2,65,65,1,sandy system,Bashkirian,Lower Pennsylvanian,Carboniferous,Paleozoic,323.2,315.2,icehouse
4,outcrop,"type,grain size,general structures,laminations",4,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse
10,outcrop,"type,grain size,general structures,laminations",8,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
19,outcrop,"type,general structures,laminations",13,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse
20,outcrop,NA,13,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse
21,"high resolution 2D seismic,bathymetry,core","type,grain size,general structures,laminations",14,1,1,11,1,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
27,"conventional 3D seismic,wireline log,core","type,grain size,general structures,laminations",17,7,112,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
38,outcrop,"type,grain size,general structures,laminations",18,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse
41,outcrop,"type,grain size,general structures,laminations",19,18,16,15,115,16,0.8027159,gravelly-sand system,Priabonian,Eocene,Paleogene,Cenozoic,37.71,33.9,greenhouse
42,outcrop,"type,grain size,general structures,laminations",19,18,16,15,115,16,0.8027159,gravelly-sand system,Priabonian,Eocene,Paleogene,Cenozoic,37.71,33.9,greenhouse
43,outcrop,"type,grain size,general structures,laminations",20,9,7,16,9,7,0.7282256,gravelly-sand system,Zanclean,Pliocene,Neogene,Cenozoic,5.33,3.6,icehouse
100,outcrop,NA,100,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse
101,outcrop,"type,grain size",101,56,56,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse
102,outcrop,"type,grain size,general structures,laminations",102,24,23,100,24,23,0.5209574,gravelly-sand system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse
103,outcrop,"type,grain size,general structures",102,24,23,100,24,23,0.5209574,gravelly-sand system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse
104,outcrop,"type,grain size,general structures,laminations",103,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
